Scheme name	N_bunches	N_coll_ATLAS	N_coll_LHCb	N_coll_ALICE	N_inj	N_unused	Injection types	Injection len
25ns_2760b_2748_2495_2560_288bpi_14inj_800ns_bs200ns_STD	2760	2748	2560	2495	13	122	[[12], [72, 72, 72, 72], [72, 72]]	[12, 309, 151]
25ns_2844b_2832_2560_2631_288bpi_15inj_800ns_bs200ns_4x72_opt	2844	2832	2631	2560	13	17	[[12], [24], [72, 72, 72, 72], [24, 72, 72]]	[12, 24, 309, 182]
25ns_2808b_2800_2618_2658_320bpi_14inj_800ns_bs200ns_4x80	2808	2800	2658	2618	12	126	[[8], [80, 80, 80, 80], [80]]	[8, 341, 80]
25ns_2904b_2896_2656_2734_320bpi_12inj_800ns_bs200ns_4x80b_opt	2904	2896	2734	2656	12	9	[[8], [80, 80, 80, 80], [32, 80]]	[8, 341, 119]
25ns_2604b_2592_2288_2396_288bpi_12inj_900ns_bs225ns_BCMS_baseline	2604	2592	2396	2288	12	154	[[12], [48, 48, 48, 48, 48, 48], [48, 48]]	[12, 328, 104]
25ns_2604b_2592_2313_2416_240bpi_13inj_800ns_bs200ns_5x48_LHCb	2604	2592	2416	2313	13	173	[[12], [48, 48], [48, 48, 48, 48, 48], [48, 48, 48, 48]]	[12, 103, 268, 213]
25ns_2744b_2736_2246_2370_240bpi_13inj_800ns_bs200ns_5x48b_opt	2744	2736	2370	2246	13	12	[[8], [48, 48], [48, 48, 48, 48, 48]]	[8, 103, 268]
25ns_2748b_2736_2258_2378_288bpi_12inj_800ns_bs200ns_6x48	2748	2736	2378	2258	12	32	[[12], [48, 48, 48, 48, 48, 48], [48, 48, 48]]	[12, 323, 158]
25ns_2372b_2360_1784_2216_256bpi_12inj_800ns_bs200ns_run3study	2372	2360	2216	1784	12	29	[[12], [56, 56, 48, 48, 48], [56, 48]]	[12, 332, 135]
25ns_2492b_2480_2048_2301_240bpi_13inj_800ns_bs200ns_run3_study_corrected	2492	2480	2301	2048	13	73	[[12], [56], [48, 48, 48, 48, 48], [56, 56, 56]]	[12, 80, 268, 254]
